Comment,Designator,Footprint,LCSC Part #
1k65,R11,R0603,C22845
1uF,C7,C0603,
4 7uF,C5,C0603,C19666
5.1k,R4 R5,R0402,
10k,R1 R2 R3,R0402,
22uF,C4,C0603,
47uF,C2,C0603,
100k,R8,R0402,
100nF,C1,C0603,
100nF,C6 C12,C0402,
100uF,C3,C1206,
320k,R9,R0402,
330,R10,R0402,
0805L050,F1,0805L,C66452
BAT60B,D1 D2,SOD323-R,C514095
Boot button,FLASH,TS1088R02026,C455280
EN botton,RESET,TS1088R02026,C455280
ESP32-WROOM-32E,IC2,ESP32WROOM32E,C701343
HT78XX-SOT89,LDO,SOT89-BCE,
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
MMDT3904,Q1,SC70-6,C268586
RED,CHARGING,CHIP-LED0603,C2286
TP4054,U1,SOT-23-5,C32574
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
4p,J3,4p,C145956